Datum,Mittlere_Temperatur,Temp_max,Temp_min,Regen_mm,Strahlung,Mittlere_Windgeschwindigkeit_km/h,Windboen_km/h,Richtung,Mittlerer_Luftdruck_hPa,Mittlere_Luftfeuchte,Taupunkt,Sonnenscheindauer_Min
2020-12-31,2.75,4.31,1.05,2.97,17.48,4.04,13.74,135,990.68,85.17,2.78,40
2020-12-30,4.47,5.35,2.93,0.04,15.30,6.98,18.72,216,989.33,81.58,2.29,0
2020-12-29,4.16,5.60,1.39,9.14,19.83,10.45,47.45,193,976.31,82.21,2.86,50
2020-12-28,5.20,8.81,2.29,7.44,18.78,8.82,34.86,155,966.63,81.74,3.89,30
2020-12-27,3.41,9.25,-0.62,0.40,20.40,8.89,33.60,143,984.01,68.10,2.48,10
2020-12-26,1.79,3.52,0.35,0.01,34.06,7.29,19.38,222,1010.01,83.62,0.03,190
2020-12-25,3.08,4.64,1.02,1.55,32.21,6.36,19.26,262,1006.22,80.84,2.40,160
2020-12-24,7.70,11.68,1.72,22.35,18.86,13.09,48.72,244,996.58,82.28,8.56,50
2020-12-23,13.00,15.49,11.70,8.20,17.64,9.45,44.88,216,999.97,82.40,10.95,10
2020-12-22,12.86,14.41,10.36,5.01,12.39,15.41,32.82,226,1003.41,85.20,11.92,0
2020-12-21,8.09,10.51,5.81,0.42,21.15,5.89,29.76,165,1006.56,87.79,8.30,80
2020-12-20,7.58,8.96,6.28,1.50,13.29,4.35,12.96,162,1006.39,91.38,7.90,10
2020-12-19,5.72,9.52,2.40,0.00,34.58,2.90,8.94,140,1004.85,86.74,5.58,190
2020-12-18,3.62,6.18,1.92,0.00,48.25,3.02,22.32,147,1009.48,90.01,4.40,230
2020-12-17,6.83,9.69,4.00,0.02,21.01,3.96,15.06,151,1007.90,88.80,6.42,30
2020-12-16,7.86,11.50,5.82,0.31,38.77,2.98,8.88,142,1003.32,91.69,7.98,170
2020-12-15,7.20,9.24,4.55,1.19,15.97,3.78,14.88,162,999.09,87.96,8.17,0
2020-12-14,5.63,8.67,2.95,0.00,38.47,3.74,8.34,114,998.29,78.48,3.78,230
2020-12-13,7.25,9.19,4.76,0.36,36.23,7.42,53.28,200,997.42,84.49,6.62,150
2020-12-12,6.51,7.88,4.72,3.81,10.57,5.67,16.80,164,984.46,90.42,6.61,0
2020-12-11,2.79,4.98,0.15,0.61,24.48,3.83,14.82,112,983.87,78.69,2.58,50
2020-12-10,2.76,3.72,1.89,0.00,15.51,4.90,13.02,111,992.94,73.03,-0.90,0
2020-12-09,3.23,4.75,1.72,0.00,9.30,7.04,17.28,241,994.94,81.77,1.87,0
2020-12-08,3.00,5.16,1.44,0.00,53.79,6.46,18.54,66,987.94,78.88,0.34,270
2020-12-07,4.56,6.47,2.05,0.01,36.81,8.01,19.80,177,986.11,82.71,2.95,150
2020-12-06,3.99,4.78,3.05,2.97,13.53,6.80,16.32,229,984.88,91.55,3.39,0
2020-12-05,3.97,4.89,3.25,6.32,22.98,5.91,16.74,122,983.81,87.20,2.89,30
2020-12-04,6.69,9.57,3.99,0.26,9.95,6.50,23.70,144,975.59,68.24,3.98,0
2020-12-03,3.14,5.90,1.29,0.00,25.06,6.08,13.80,161,989.90,75.21,-0.02,60
2020-12-02,2.30,3.16,1.58,0.01,10.90,6.89,65.16,63,1001.79,84.72,1.73,0
2020-12-01,2.24,3.47,-0.09,4.71,8.72,8.66,21.60,213,1002.31,91.09,2.20,0
2020-11-30,-1.01,1.54,-3.05,0.39,66.37,6.33,46.74,178,1010.73,82.80,-1.68,360
2020-11-29,1.86,3.73,-1.69,0.00,27.11,9.16,21.24,40,1009.19,73.97,0.49,90
2020-11-28,1.66,5.24,-0.35,0.00,63.07,9.39,66.60,44,1005.38,87.09,0.66,330
2020-11-27,3.62,8.04,1.24,0.06,61.81,4.99,14.52,81,1005.90,85.61,2.56,350
2020-11-26,1.73,4.05,-0.07,0.00,59.16,4.66,85.92,129,1008.20,90.42,1.30,300
2020-11-25,2.75,3.84,1.29,0.00,15.10,3.71,10.56,132,1006.81,93.23,2.92,0
2020-11-24,4.89,8.99,3.41,0.00,54.82,4.44,11.40,145,1010.47,91.08,4.89,270
2020-11-23,6.64,8.52,5.39,0.53,28.50,6.85,23.76,176,1014.46,74.60,4.59,150
2020-11-22,3.92,7.49,-0.04,0.00,58.95,6.70,17.64,218,1014.60,73.89,0.89,270
2020-11-21,2.85,7.06,-0.58,0.00,65.18,3.69,55.53,178,1019.31,77.60,1.55,350
2020-11-20,6.26,8.01,3.45,0.05,41.52,3.91,29.04,184,1019.72,76.29,5.61,170
2020-11-19,9.28,11.71,6.76,4.25,22.84,10.42,50.40,235,1010.02,77.91,8.98,60
2020-11-18,9.22,13.33,4.16,0.00,114.08,3.58,90.36,191,1010.04,77.01,6.18,360
2020-11-17,10.90,13.61,8.11,0.00,49.39,7.65,35.70,206,1013.39,71.08,7.22,280
2020-11-16,11.06,12.54,9.63,1.83,41.32,12.47,26.52,230,1004.21,76.37,10.32,220
2020-11-15,12.21,18.84,7.56,7.39,69.14,4.57,33.39,150,998.45,72.91,11.64,330
2020-11-14,12.78,17.51,9.14,0.03,76.12,3.73,15.66,158,1004.90,75.37,9.38,370
2020-11-13,10.66,13.95,6.87,0.03,42.49,3.10,23.88,154,1006.16,84.10,9.68,250
2020-11-12,9.85,12.19,8.30,1.05,31.30,4.60,17.40,173,1007.08,89.45,10.15,120
2020-11-11,8.24,10.07,6.67,0.01,27.49,5.13,16.68,107,1011.14,90.92,7.71,80
2020-11-10,7.03,7.77,5.95,0.00,21.91,5.23,11.76,90,1012.23,92.06,6.29,0
2020-11-09,10.20,15.68,7.35,0.00,72.17,3.16,13.26,106,1009.63,82.61,8.52,370
2020-11-08,8.36,12.96,3.69,0.00,55.97,2.60,16.26,146,1009.94,83.51,7.85,320
2020-11-07,6.57,11.62,2.17,0.00,77.20,3.77,11.04,120,1011.49,80.70,5.27,390
2020-11-06,6.08,11.95,1.83,0.00,93.76,7.66,27.65,57,1017.28,76.98,4.05,420
2020-11-05,6.72,11.85,2.92,0.00,96.45,7.70,18.12,34,1021.76,74.52,3.33,420
2020-11-04,9.28,11.07,7.30,0.00,71.40,6.46,29.28,139,1016.53,72.00,6.58,320
2020-11-03,12.08,17.49,10.41,0.50,32.50,8.30,27.36,230,1010.05,79.16,13.20,160
2020-11-02,19.86,22.31,17.89,0.00,57.05,14.55,31.26,225,1001.42,62.50,13.14,370
2020-11-01,15.06,18.27,11.12,4.91,35.96,10.96,29.10,211,1003.14,78.91,13.29,160
2020-10-31,13.41,16.59,10.50,0.00,98.81,4.62,14.04,170,1007.95,69.76,9.36,410
2020-10-30,13.79,15.42,11.92,1.33,33.22,11.21,22.92,237,1009.49,75.12,11.20,190
2020-10-29,11.76,13.58,9.62,10.90,30.73,11.63,27.00,231,1004.69,81.34,10.13,120
2020-10-28,12.81,14.61,10.81,1.93,63.96,11.07,28.80,217,998.32,71.61,10.50,340
2020-10-27,10.04,12.68,7.74,0.02,58.20,8.04,31.08,180,995.94,70.57,5.94,330
2020-10-26,10.16,11.52,8.85,11.53,21.23,7.61,23.94,211,992.02,85.16,10.29,10
2020-10-25,12.85,19.25,7.76,0.63,100.80,5.11,27.00,140,994.05,69.34,9.52,410
2020-10-24,14.14,16.76,12.37,0.01,66.61,8.43,21.12,218,1002.40,78.60,13.35,300
2020-10-23,15.26,17.20,14.28,3.31,19.75,8.10,21.90,220,999.80,85.55,13.77,20
2020-10-22,16.61,22.43,12.49,0.00,65.25,4.89,20.94,160,1000.62,65.41,12.89,330
2020-10-21,14.13,18.43,11.29,0.00,57.25,3.78,11.10,139,995.80,71.32,10.58,300
2020-10-20,10.28,15.62,4.97,0.00,79.00,3.25,12.78,121,1000.56,72.52,9.95,310
2020-10-19,10.14,14.52,7.93,0.00,83.29,4.21,16.08,111,1007.56,67.61,6.07,410
2020-10-18,9.40,12.57,7.21,0.00,87.90,4.82,12.24,222,1008.32,75.99,6.78,390
2020-10-17,8.59,10.73,5.44,0.00,63.76,3.75,10.38,160,1005.26,80.90,6.61,440
2020-10-16,9.77,11.55,8.91,0.65,32.44,7.56,16.74,195,1004.00,85.77,8.56,140
2020-10-15,8.59,9.85,7.46,1.81,27.77,7.99,16.74,184,1000.61,90.95,8.20,40
2020-10-14,7.36,11.12,3.65,0.58,61.56,5.77,16.86,72,999.41,84.43,6.49,340
2020-10-13,9.53,12.79,6.45,0.00,102.67,5.67,18.96,124,999.37,77.93,6.96,510
2020-10-12,8.99,11.69,7.00,1.01,69.29,7.94,31.86,225,1005.77,82.53,7.38,390
2020-10-11,8.85,12.46,6.38,0.99,103.50,7.86,19.44,219,1006.07,78.74,6.94,400
2020-10-10,11.76,14.37,8.01,1.15,83.82,8.11,19.20,236,1006.92,75.50,12.32,370
